anime_id,name,score,genres,english_name,japanese_name,type,episodes,aired,premiered,producers,licensors,studios,source,duration,rating,ranked,popularity,members,favorites,watching,completed,on_hold,dropped,plan_to_watch,score_10,score_9,score_8,score_7,score_6,score_5,score_4,score_3,score_2,score_1
35211,,,"Mystery, Sci-Fi, Shounen, Thriller",,,ONA,,,Unknown,Unknown,Unknown,Unknown,Other,12 min.,R - 17+ (violence & profanity),,11039,785,0,0,0,0,0,785,,,,,,,,,,
35229,,,Kids,,,ONA,,,Unknown,Unknown,Unknown,Sanrio,Picture book,2 min.,G - All Ages,15706.0,16422,120,0,38,0,5,27,50,4.0,,,1.0,1.0,3.0,4.0,1.0,,6.0
35300,,6.18,"Drama, Magic",,,Special,,,Unknown,Unknown,Unknown,Unknown,Game,41 sec.,PG - Children,7453.0,4957,9774,46,1376,0,520,373,7505,101.0,45.0,77.0,151.0,165.0,131.0,45.0,29.0,20.0,35.0
35311,,,"Comedy, Slice of Life",,,ONA,,,Unknown,Unknown,Unknown,Unknown,Original,1 min.,G - All Ages,14864.0,15102,191,0,45,0,18,42,86,2.0,,,2.0,2.0,9.0,2.0,2.0,1.0,7.0
35312,,,"Comedy, Slice of Life",,,Movie,,,Unknown,Unknown,Unknown,Unknown,Original,2 min.,G - All Ages,14866.0,15035,193,0,40,0,14,52,87,2.0,,,2.0,1.0,5.0,2.0,5.0,,10.0
35335,,,"Comedy, School, Slice of Life",,,TV,,,Unknown,Harappa,Unknown,A-Real,Original,3 min.,PG - Children,,7465,3504,2,0,0,0,0,3504,,,,,,,,,,
35349,,,Kids,,,ONA,,,Unknown,Sanrio,Unknown,Unknown,Original,2 min.,G - All Ages,15472.0,14171,251,1,62,0,26,38,125,6.0,2.0,1.0,8.0,8.0,5.0,5.0,1.0,4.0,6.0
35362,,,"Music, Comedy, Fantasy",,,TV,,,Unknown,Unknown,Unknown,Unknown,Picture book,Unknown,Unknown,,9967,1261,1,0,0,0,0,1261,,,,,,,,,,
35372,,,"Music, Kids, Fantasy",,,TV,,,Spring 2017,NHK,Unknown,Unknown,Original,3 min.,G - All Ages,11465.0,15532,167,0,46,0,8,58,55,3.0,,1.0,,2.0,1.0,4.0,,5.0,9.0
35411,,,"Game, Fantasy",,,ONA,,,Unknown,Unknown,Unknown,Unknown,Game,34 sec.,G - All Ages,14512.0,10286,1093,5,235,0,41,70,747,15.0,2.0,7.0,16.0,12.0,9.0,2.0,5.0,5.0,9.0
35478,,,"Slice of Life, Comedy",,,TV,,,Spring 2017,"Gakken, MMDGP, Anime Beans",Unknown,Kachidoki Studio,Original,1 min.,G - All Ages,11125.0,10674,919,1,117,0,27,166,609,10.0,,,5.0,2.0,11.0,1.0,5.0,2.0,13.0
35552,,5.89,"Music, Comedy",,,Music,,,Unknown,Nintendo,Unknown,Unknown,Game,4 min.,G - All Ages,8547.0,10295,1089,3,320,0,233,136,400,41.0,18.0,23.0,61.0,79.0,58.0,26.0,16.0,15.0,20.0
35590,,,"Comedy, Parody",,,ONA,,,Unknown,Unknown,Unknown,Pie in the sky,Original,1 min.,G - All Ages,13380.0,15431,171,0,39,0,20,58,54,3.0,,,2.0,2.0,5.0,5.0,3.0,5.0,8.0
35621,,,"Game, Fantasy",,,ONA,,,Unknown,Unknown,Unknown,Unknown,Game,3 min.,G - All Ages,15319.0,15308,178,2,41,0,9,47,81,4.0,2.0,,3.0,4.0,1.0,2.0,2.0,3.0,5.0
35686,,6.31,"Comedy, Seinen",,,Special,,,Unknown,Unknown,Unknown,Unknown,Unknown,45 min.,PG - Children,6845.0,11496,653,4,278,2,61,92,220,33.0,14.0,30.0,57.0,39.0,25.0,7.0,7.0,7.0,9.0
35696,,,Kids,,,TV,,,Winter 2015,NHK,Unknown,Unknown,Original,5 min.,G - All Ages,15158.0,15505,168,0,38,0,15,50,65,3.0,1.0,,1.0,3.0,2.0,3.0,2.0,1.0,7.0
35697,,,"Kids, Magic",,,TV,,,Spring 2015,NHK,Unknown,Unknown,Original,5 min.,G - All Ages,13442.0,15412,172,0,38,0,12,61,61,3.0,,,2.0,5.0,1.0,,3.0,4.0,9.0
35698,,,"Sports, Kids",,,TV,,,Winter 2016,NHK,Unknown,Unknown,Original,5 min.,G - All Ages,11321.0,15741,155,0,42,0,9,53,51,3.0,,,,1.0,2.0,5.0,3.0,,6.0
35716,,,"Action, Police",,,ONA,,,Unknown,Unknown,Unknown,Trigger,Original,Unknown,R - 17+ (violence & profanity),,4671,11476,10,0,1,0,0,11475,,,,,,,,,,
35737,,,"Action, Sci-Fi, Mystery, Psychological, Mecha, Seinen",,,Unknown,,,Unknown,Genco,Unknown,Studio M2,Manga,Unknown,Unknown,,6095,5881,16,0,0,0,0,5881,,,,,,,,,,
35746,,,"Comedy, Drama, Romance, School, Shounen Ai, Slice of Life, Supernatural, Yaoi",,,OVA,,,Unknown,"Soft Garage, Shinshokan",Unknown,Unknown,Manga,22 min.,Unknown,,4637,11624,78,0,0,0,0,11624,,,,,,,,,,
35770,,5.96,"Slice of Life, Magic, Romance",,,Special,,,Unknown,Unknown,Unknown,"Shaft, Tatsunoko Production",Other,30 sec.,G - All Ages,8350.0,6202,5552,6,1237,2,730,401,3182,54.0,56.0,133.0,216.0,305.0,257.0,82.0,52.0,29.0,47.0
35926,,7.13,Hentai,,,OVA,,,Unknown,Mary Jane,Unknown,Unknown,Manga,15 min.,Rx - Hentai,,5816,6607,34,3263,8,1107,363,1866,254.0,274.0,509.0,698.0,390.0,168.0,72.0,43.0,20.0,18.0
35962,,,"Kids, Music",,,TV,,,Unknown,Unknown,Unknown,Unknown,Original,30 sec.,G - All Ages,11515.0,16543,115,0,29,0,5,39,42,4.0,,,1.0,,2.0,,3.0,1.0,6.0
36006,,,School,,,Unknown,,,Unknown,Unknown,Unknown,Unknown,Other,Unknown,Unknown,,6206,5594,6,0,0,0,0,5594,,,,,,,,,,
36064,,7.34,"Action, Fantasy",,,Special,,,Unknown,Unknown,Unknown,Unknown,Game,15 sec.,PG - Children,2149.0,3916,17325,73,4948,14,1028,632,10703,484.0,323.0,665.0,777.0,389.0,167.0,48.0,29.0,28.0,52.0
36127,,,"Historical, Drama",,,Special,,,Unknown,NHK,Unknown,Unknown,Other,5 min.,G - All Ages,13289.0,14139,253,0,67,0,30,49,107,4.0,1.0,5.0,10.0,17.0,8.0,1.0,1.0,,4.0
36184,,6.65,"Adventure, Martial Arts",,,ONA,,,Unknown,Unknown,Unknown,Unknown,Original,20 min.,PG-13 - Teens 13 or older,5143.0,10208,1127,4,288,0,84,57,698,11.0,18.0,16.0,41.0,19.0,12.0,8.0,3.0,3.0,6.0
36252,,,"Mystery, Supernatural, Romance, Josei",,,TV,,,Unknown,Unknown,Unknown,Unknown,Game,Unknown,Unknown,,9633,1476,0,0,0,0,0,1476,,,,,,,,,,
36409,,5.36,"Music, Comedy",,,TV,,,Fall 2017,Unknown,Unknown,DLE,Original,30 sec.,G - All Ages,10043.0,10127,1168,5,289,0,114,294,471,98.0,6.0,8.0,17.0,19.0,27.0,16.0,17.0,18.0,51.0
36411,,,"Samurai, Shounen",,,ONA,,,Unknown,Unknown,Unknown,Unknown,Game,4 min.,G - All Ages,15731.0,15662,159,0,42,0,11,44,62,6.0,,,1.0,3.0,3.0,1.0,2.0,3.0,5.0
36506,,,"Kids, Fantasy",,,TV,,,Summer 2017,NHK,Unknown,Unknown,Original,4 min.,G - All Ages,14062.0,15522,166,0,34,0,12,52,68,3.0,,2.0,1.0,2.0,4.0,,3.0,1.0,5.0
36543,,,"Comedy, Parody, Super Power",,,ONA,,,Unknown,Unknown,Unknown,Unknown,Original,11 min.,G - All Ages,14155.0,15553,164,0,42,0,11,51,60,3.0,,1.0,1.0,2.0,6.0,2.0,1.0,2.0,8.0
36588,,,"Comedy, Music, Parody, School",,,ONA,,,Unknown,Unknown,Unknown,Unknown,Original,1 min.,G - All Ages,15353.0,12525,433,2,138,1,37,44,213,12.0,9.0,9.0,16.0,13.0,5.0,2.0,1.0,3.0,8.0
36613,,,Music,,,Music,,,Unknown,NHK,Unknown,Unknown,Original,1 min.,G - All Ages,13453.0,16397,121,0,31,0,12,37,41,4.0,1.0,1.0,1.0,4.0,8.0,4.0,4.0,2.0,6.0
36639,,5.94,"Fantasy, Game",,,ONA,,,Unknown,Unknown,Unknown,Unknown,Card game,1 min.,G - All Ages,8423.0,10998,797,1,197,1,56,116,427,18.0,8.0,10.0,20.0,20.0,25.0,12.0,7.0,6.0,12.0
36686,,7.23,"Magic, Fantasy",,,OVA,,,Unknown,Unknown,Unknown,Unknown,Game,30 min.,PG-13 - Teens 13 or older,2636.0,6407,5131,24,972,0,450,114,3595,90.0,68.0,135.0,122.0,56.0,31.0,14.0,13.0,5.0,11.0
36700,,,"Kids, Fantasy",,,ONA,,,Unknown,Yumearu,Unknown,Unknown,Other,3 min.,G - All Ages,13091.0,16306,126,0,35,0,11,40,40,3.0,,,4.0,1.0,3.0,1.0,2.0,3.0,8.0
36724,,,"Slice of Life, Comedy",,,ONA,,,Unknown,Unknown,Unknown,Unknown,Original,2 min.,G - All Ages,13965.0,14143,253,0,58,0,28,54,113,6.0,,,2.0,5.0,12.0,5.0,1.0,3.0,8.0
36925,,,"Music, Slice of Life, Sports",,,TV,,,Unknown,Unknown,Unknown,Unknown,Game,Unknown,PG - Children,,10468,1012,4,0,0,0,0,1012,,,,,,,,,,
36952,,,"Action, Comedy, Sports, School, Shounen",,,OVA,,,Unknown,Unknown,Unknown,Unknown,Manga,Unknown,PG-13 - Teens 13 or older,12447.0,8292,2515,11,237,1,73,77,2127,22.0,18.0,19.0,18.0,14.0,10.0,2.0,,,6.0
37008,,,Music,,,TV,,,Summer 2021,Unknown,Unknown,Unknown,Music,Unknown,PG-13 - Teens 13 or older,,7944,2890,13,0,0,0,0,2890,,,,,,,,,,
37020,,,Comedy,,,ONA,,,Unknown,WOWOW,Unknown,dwarf,Original,15 sec.,G - All Ages,12880.0,15966,141,0,31,0,8,42,60,3.0,,,1.0,2.0,2.0,2.0,1.0,,7.0
